,score,winLEN,tag,cv,seed,subject
0,0.975,0.3,wn,0,0.0,miaoyining
1,0.975,0.3,wn,1,0.0,miaoyining
2,0.975,0.3,wn,2,0.0,miaoyining
3,0.975,0.3,wn,3,0.0,miaoyining
4,1.0,0.3,wn,4,0.0,miaoyining
5,1.0,0.3,wn,5,0.0,miaoyining
6,0.925,0.3,wn,0,1.0,miaoyining
7,1.0,0.3,wn,1,1.0,miaoyining
8,0.975,0.3,wn,2,1.0,miaoyining
9,0.925,0.3,wn,3,1.0,miaoyining
10,0.95,0.3,wn,4,1.0,miaoyining
11,0.95,0.3,wn,5,1.0,miaoyining
12,1.0,0.3,wn,0,2.0,miaoyining
13,0.925,0.3,wn,1,2.0,miaoyining
14,0.925,0.3,wn,2,2.0,miaoyining
15,0.95,0.3,wn,3,2.0,miaoyining
16,0.975,0.3,wn,4,2.0,miaoyining
17,1.0,0.3,wn,5,2.0,miaoyining
18,0.95,0.3,wn,0,3.0,miaoyining
19,0.95,0.3,wn,1,3.0,miaoyining
20,0.975,0.3,wn,2,3.0,miaoyining
21,0.975,0.3,wn,3,3.0,miaoyining
22,0.9,0.3,wn,4,3.0,miaoyining
23,0.975,0.3,wn,5,3.0,miaoyining
24,0.975,0.3,wn,0,4.0,miaoyining
25,1.0,0.3,wn,1,4.0,miaoyining
26,1.0,0.3,wn,2,4.0,miaoyining
27,0.9,0.3,wn,3,4.0,miaoyining
28,0.9,0.3,wn,4,4.0,miaoyining
29,0.975,0.3,wn,5,4.0,miaoyining
30,0.975,0.3,wn,0,5.0,miaoyining
31,1.0,0.3,wn,1,5.0,miaoyining
32,0.975,0.3,wn,2,5.0,miaoyining
33,0.9,0.3,wn,3,5.0,miaoyining
34,0.95,0.3,wn,4,5.0,miaoyining
35,1.0,0.3,wn,5,5.0,miaoyining
36,0.925,0.3,wn,0,6.0,miaoyining
37,0.975,0.3,wn,1,6.0,miaoyining
38,0.925,0.3,wn,2,6.0,miaoyining
39,0.9,0.3,wn,3,6.0,miaoyining
40,0.975,0.3,wn,4,6.0,miaoyining
41,0.875,0.3,wn,5,6.0,miaoyining
42,0.975,0.3,wn,0,7.0,miaoyining
43,1.0,0.3,wn,1,7.0,miaoyining
44,0.925,0.3,wn,2,7.0,miaoyining
45,0.975,0.3,wn,3,7.0,miaoyining
46,0.95,0.3,wn,4,7.0,miaoyining
47,0.975,0.3,wn,5,7.0,miaoyining
48,0.95,0.3,wn,0,8.0,miaoyining
49,0.95,0.3,wn,1,8.0,miaoyining
50,1.0,0.3,wn,2,8.0,miaoyining
51,0.95,0.3,wn,3,8.0,miaoyining
52,0.975,0.3,wn,4,8.0,miaoyining
53,0.95,0.3,wn,5,8.0,miaoyining
54,0.975,0.3,wn,0,9.0,miaoyining
55,0.95,0.3,wn,1,9.0,miaoyining
56,0.975,0.3,wn,2,9.0,miaoyining
57,0.95,0.3,wn,3,9.0,miaoyining
58,0.975,0.3,wn,4,9.0,miaoyining
59,1.0,0.3,wn,5,9.0,miaoyining
60,0.95,0.3,wn,0,10.0,miaoyining
61,0.975,0.3,wn,1,10.0,miaoyining
62,0.975,0.3,wn,2,10.0,miaoyining
63,0.925,0.3,wn,3,10.0,miaoyining
64,0.95,0.3,wn,4,10.0,miaoyining
65,0.9,0.3,wn,5,10.0,miaoyining
66,1.0,0.3,wn,0,11.0,miaoyining
67,0.975,0.3,wn,1,11.0,miaoyining
68,0.95,0.3,wn,2,11.0,miaoyining
69,0.9,0.3,wn,3,11.0,miaoyining
70,0.925,0.3,wn,4,11.0,miaoyining
71,0.925,0.3,wn,5,11.0,miaoyining
72,1.0,0.3,wn,0,12.0,miaoyining
73,0.975,0.3,wn,1,12.0,miaoyining
74,0.975,0.3,wn,2,12.0,miaoyining
75,0.95,0.3,wn,3,12.0,miaoyining
76,0.975,0.3,wn,4,12.0,miaoyining
77,0.975,0.3,wn,5,12.0,miaoyining
78,0.95,0.3,wn,0,13.0,miaoyining
79,0.975,0.3,wn,1,13.0,miaoyining
80,0.975,0.3,wn,2,13.0,miaoyining
81,0.975,0.3,wn,3,13.0,miaoyining
