,score,winLEN,tag,cv,seed,subject
0,0.8,0.3,wn,0,0.0,shinanlin
1,0.95,0.3,wn,1,0.0,shinanlin
2,0.925,0.3,wn,2,0.0,shinanlin
3,0.95,0.3,wn,3,0.0,shinanlin
4,0.9,0.3,wn,4,0.0,shinanlin
5,0.925,0.3,wn,5,0.0,shinanlin
6,0.85,0.3,wn,0,1.0,shinanlin
7,0.825,0.3,wn,1,1.0,shinanlin
8,0.9,0.3,wn,2,1.0,shinanlin
9,0.95,0.3,wn,3,1.0,shinanlin
10,0.9,0.3,wn,4,1.0,shinanlin
11,0.875,0.3,wn,5,1.0,shinanlin
12,0.95,0.3,wn,0,2.0,shinanlin
13,0.9,0.3,wn,1,2.0,shinanlin
14,0.925,0.3,wn,2,2.0,shinanlin
15,0.925,0.3,wn,3,2.0,shinanlin
16,0.9,0.3,wn,4,2.0,shinanlin
17,0.925,0.3,wn,5,2.0,shinanlin
18,0.875,0.3,wn,0,3.0,shinanlin
19,0.95,0.3,wn,1,3.0,shinanlin
20,0.95,0.3,wn,2,3.0,shinanlin
21,0.9,0.3,wn,3,3.0,shinanlin
22,0.85,0.3,wn,4,3.0,shinanlin
23,0.825,0.3,wn,5,3.0,shinanlin
24,0.925,0.3,wn,0,4.0,shinanlin
25,0.875,0.3,wn,1,4.0,shinanlin
26,0.825,0.3,wn,2,4.0,shinanlin
27,0.975,0.3,wn,3,4.0,shinanlin
28,0.9,0.3,wn,4,4.0,shinanlin
29,0.925,0.3,wn,5,4.0,shinanlin
30,0.825,0.3,wn,0,5.0,shinanlin
31,0.9,0.3,wn,1,5.0,shinanlin
32,0.925,0.3,wn,2,5.0,shinanlin
33,0.875,0.3,wn,3,5.0,shinanlin
34,0.925,0.3,wn,4,5.0,shinanlin
35,0.975,0.3,wn,5,5.0,shinanlin
36,0.875,0.3,wn,0,6.0,shinanlin
37,0.875,0.3,wn,1,6.0,shinanlin
38,0.95,0.3,wn,2,6.0,shinanlin
39,0.9,0.3,wn,3,6.0,shinanlin
40,0.875,0.3,wn,4,6.0,shinanlin
41,0.9,0.3,wn,5,6.0,shinanlin
42,0.925,0.3,wn,0,7.0,shinanlin
43,0.925,0.3,wn,1,7.0,shinanlin
44,0.85,0.3,wn,2,7.0,shinanlin
45,0.85,0.3,wn,3,7.0,shinanlin
46,0.875,0.3,wn,4,7.0,shinanlin
47,0.95,0.3,wn,5,7.0,shinanlin
48,0.9,0.3,wn,0,8.0,shinanlin
